name,latitude,longitude,empty_slots,free_bikes
Wallace Ave / Pauline Ave,43.6632257,-79.4397052,6,11
Kingston Rd / Beech Ave,43.680095,-79.291714,13,2
Victoria Park Ave / Danforth Ave,43.691468,-79.288619,7,12
Union Station,43.645609,-79.380386,40,2
Hayter St / La Plante Ave,43.6591666666667,-79.3855555555556,17,3
Seaton St / Dundas St E - SMART,43.658777,-79.369596,13,17
Lundy Ave / Étienne Brûlé Park,43.6625395,-79.5030161,0,14
Chiltern Hill Rd / Eglinton Ave W,43.7004017,-79.4275305,16,0
Torresdale Ave / Antibes Dr,43.77953,-79.45233,5,8
Esther Shiner Stadium,43.7774374,-79.4447096,7,15
St. George St / Hoskin Ave,43.6637403,-79.39806449999999,9,6
Fleming Cres / Bayview Ave,43.707045,-79.375437,12,3
King St E / Victoria St,43.6495789,-79.3762096,16,1
Alameda Ave / Vaughan Rd - SMART,43.690903,-79.4375028,14,2
Adelaide St W / Strachan Ave,43.643253094827294,-79.41230469904167,3,11
Royal York Rd / Lake Shore Blvd W,43.6029904,-79.4926867,3,14
Runnymede Rd / Annette St,43.6596299,-79.4799176,5,6
Salem Ave / Bloor St W,43.6608333,-79.43166666666667,10,4
Dufferin St / Bloor St W,43.66083333333333,-79.43583333333333,11,11
Davisville Ave / Pailton Cres,43.69933,-79.39199,2,17
High Park Ave / Dundas St W,43.6653032,-79.4701178,10,3
Judson St / Royal York Rd,43.6162721,-79.4990363,4,15
Wilket Creek Park,43.720645,-79.355474,16,11
Annette St / Dundas St W,43.6641174,-79.4588522,7,6
Noble St / Queen St W,43.6424558,-79.4296346,0,14
Oriole Pkwy / Kilbarry Rd,43.6954486,-79.4026176,19,0
East Lynn Ave / Danforth Ave,43.6850809,-79.3149901,0,15
Langford Ave / Danforth Ave - SMART,43.6800218,-79.3405681,13,2
University of Toronto Scarborough,43.7842419,-79.1849889,16,0
190 Queens Quay E,43.6451308,-79.36536439999999,0,15
324 Cherry St,43.6482995,-79.3552533,14,3
Elm St/ University Ave (East Side),43.65637299999999,-79.38781039999999,15,2
Walton St / Elizabeth St - SMART,43.657838,-79.38631,14,3
Waterfront Trail (Rouge Hill),43.778015,-79.131911,16,0
St Clair Ave W / Gunns Rd,43.672079,-79.470171,19,3
Pape Ave / Gamble Ave,43.690237,-79.350119,12,7
Roehampton Ave / Mount Pleasant Rd,43.70942,-79.39139,15,2
Church St / Bloor St E,43.671389,-79.382919,13,1
200 Bloor St E,43.671561,-79.38117,9,14
Bloor St W / Balmuto St,43.669903,-79.387802,10,0
Moore Park,43.693256,-79.383238,14,0
Bloor St W / Pacific Ave,43.65412449999999,-79.4636388,0,6
Danforth Ave / Dewhurst Blvd,43.680207,-79.339243,9,6
Bloor St W / Brock Ave,43.6589882,-79.438715,7,4
Davenport Rd / Dovercourt Rd - SMART,43.6741219,-79.4352208,12,4
1 Market St - SMART,43.6469928,-79.3706665,6,7
