name,latitude,longitude,empty_slots,free_bikes
Chiltern Hill Rd / Eglinton Ave W,43.7004017,-79.4275305,17,0
Torresdale Ave / Antibes Dr,43.77953,-79.45233,5,9
Esther Shiner Stadium,43.7774374,-79.4447096,7,16
St. George St / Hoskin Ave,43.6637403,-79.39806449999999,14,1
Fleming Cres / Bayview Ave,43.707045,-79.375437,13,2
King St E / Victoria St,43.6495789,-79.3762096,18,1
Alameda Ave / Vaughan Rd - SMART,43.690903,-79.4375028,15,1
Adelaide St W / Strachan Ave,43.643253094827294,-79.41230469904167,1,13
Royal York Rd / Lake Shore Blvd W,43.6029904,-79.4926867,7,10
Runnymede Rd / Annette St,43.6596299,-79.4799176,11,2
Salem Ave / Bloor St W,43.6608333,-79.43166666666667,8,7
Dufferin St / Bloor St W,43.66083333333333,-79.43583333333333,20,2
Davisville Ave / Pailton Cres,43.69933,-79.39199,2,17
High Park Ave / Dundas St W,43.6653032,-79.4701178,9,4
Judson St / Royal York Rd,43.6162721,-79.4990363,5,14
Wilket Creek Park,43.720645,-79.355474,16,11
Annette St / Dundas St W,43.6641174,-79.4588522,4,11
Noble St / Queen St W,43.6424558,-79.4296346,0,14
Oriole Pkwy / Kilbarry Rd,43.6954486,-79.4026176,15,4
East Lynn Ave / Danforth Ave,43.6850809,-79.3149901,3,12
Langford Ave / Danforth Ave - SMART,43.6800218,-79.3405681,12,4
University of Toronto Scarborough,43.7842419,-79.1849889,16,0
190 Queens Quay E,43.6451308,-79.36536439999999,4,11
324 Cherry St,43.6482995,-79.3552533,18,0
Elm St/ University Ave (East Side),43.65637299999999,-79.38781039999999,16,1
Walton St / Elizabeth St - SMART,43.657838,-79.38631,7,10
Waterfront Trail (Rouge Hill),43.778015,-79.131911,12,4
St Clair Ave W / Gunns Rd,43.672079,-79.470171,19,4
Pape Ave / Gamble Ave,43.690237,-79.350119,13,6
Roehampton Ave / Mount Pleasant Rd,43.70942,-79.39139,15,2
Church St / Bloor St E,43.671389,-79.382919,11,1
200 Bloor St E,43.671561,-79.38117,22,0
Bloor St W / Balmuto St,43.669903,-79.387802,10,0
Moore Park,43.693256,-79.383238,12,2
Bloor St W / Pacific Ave,43.65412449999999,-79.4636388,2,4
Danforth Ave / Dewhurst Blvd,43.680207,-79.339243,7,8
Bloor St W / Brock Ave,43.6589882,-79.438715,10,1
Davenport Rd / Dovercourt Rd - SMART,43.6741219,-79.4352208,15,0
1 Market St - SMART,43.6469928,-79.3706665,0,14
